PropertyID,CountyName,DwellingTypeDescr,Year_of_Construction,TypeofRating,EnergyRating,BerRating,TotalFloorArea,UValueWall,UValueRoof,UValueFloor,UValueWindow,UvalueDoor,WallArea,RoofArea,FloorArea,WindowArea,DoorArea,NoStoreys,CO2Rating,MainSpaceHeatingFuel,MainWaterHeatingFuel,HSMainSystemEfficiency,MultiDwellingMPRN,HSSupplSystemEff,WHMainSystemEff,GroundFloorUValue,SolarHotWaterHeating,InsulationType,InsulationThickness,GroundFloorArea,GroundFloorHeight,FirstFloorArea,FirstFloorHeight,SecondFloorArea,SecondFloorHeight,ThirdFloorArea,ThirdFloorHeight,RoomInRoofArea,PurposeOfRating,DateOfAssessment
1092806,Leitrim,Detached house,2020,Existing   ,B1,90.17,191.69,0.18,0.15,0.15,2,3,182.62,99.98,97.29,24.38,3.95,2,21.75,Heating Oil ,Heating Oil ,92.7,NO,0,92.7,0,,,,97.29,2.67,94.4,2.51,0,0,0,0,0,Unknown,04/02/2022
1139373,Leitrim,Detached house,2005,Existing   ,B1,86.43,302.16,0.19,0.26,0.31,2.2,3.57,248.35,162.71,158.46,55.81,3.69,2,13.29,Electricity ,Electricity,400,NO,45,160,0.31,,,,158.46,2.59,143.7,2.75,0,0,0,0,0,Grant Support,04/07/2023
1158748,Leitrim,Detached house,1994,Existing   ,B1,79.22,225.95,0.37,0.22,0.38,0.9,0,147.3,178.95,168.95,37.2,0,2,17.47,Electricity ,Electricity,397.33,NO,60,245.87,0,,,,168.95,2.72,57,2.33,0,0,0,0,0,Grant Support,04/11/2022
1160505,Leitrim,Semi-detached house,2005,Existing   ,B1,75.78,112.12,0.37,0.26,0.34,2.2,3,93.85,56.56,56.56,16.33,2.07,2,14.47,Electricity ,Electricity,460.45,NO,30,214.99,0,,,,56.56,2.45,55.56,2.72,0,0,0,0,0,Grant Support,04/04/2023
1050199,Leitrim,Detached house,2007,Provisional,B2,115.21,215.51,0.36,0.17,0.34,1.52,1.89,172.08,148.98,142.31,25.89,4.03,2,28.96,Heating Oil ,Heating Oil ,93,NO,77,93,0,,,,142.31,2.85,73.2,2.26,0,0,0,0,0,Sale,04/03/2020
1071806,Leitrim,Detached house,2005,Existing   ,B2,111.85,206,0.37,0.16,0.34,2.8,3,188,108,108,30.86,1.85,2,29.18,Heating Oil ,Heating Oil ,97,NO,30,97,0,,,,108,2.44,98,2.42,0,0,0,0,0,Grant Support,04/05/2021
1078366,Leitrim,Semi-detached house,2004,Existing   ,B3,149.87,124.81,0.33,0.13,0.41,2.2,2.57,111.32,66.88,66.88,17.61,5.88,2,37.51,Heating Oil ,Heating Oil ,85.6,NO,55,85.6,0,,,,66.88,2.42,57.93,2.72,0,0,0,0,0,Grant Support,04/08/2021
1096867,Leitrim,Top-floor apartment,2005,Existing   ,B3,138.37,126.1,0.57,0.25,0,2.2,1.36,100.73,129.41,0,21.52,1.85,1,28.91,Bulk LPG (propane or butane),Bulk LPG (propane or butane),90.6,NO,0,90.6,0,,,,126.1,2.68,0,0,0,0,0,0,0,Sale,04/05/2022
1119045,Leitrim,Detached house,2002,Existing   ,B3,142.76,175.1,0.55,0.36,0.41,1,2.35,113.78,142.2,120.5,19.94,3.7,2,31.1,Heating Oil ,Heating Oil ,90.3,NO,65,90.3,0,,,,120.5,2.6,54.6,1.8,0,0,0,0,0,Sale,04/01/2023
1142310,Leitrim,Detached house,2006,Existing   ,B3,139.96,139.28,0.37,0.25,0.34,1.31,1.94,118.27,108.53,103.23,14.76,3.96,2,33.76,Heating Oil ,Heating Oil ,85,NO,60,85,0,,,,103.23,2.45,0,0,0,0,0,0,36.05,Sale,04/08/2023
